title,domestic_revenue,world_revenue,distributor,opening_revenue,opening_theaters,budget,MPAA,genres,release_days
Daddy's Home 2,"$104,029,443","$180,613,180",Paramount Pictures,"$29,651,193","3,575","$69,000,000",PG-13,Comedy,417
Queen of Katwe,"$8,874,389","$10,367,161",Walt Disney Studios Motion Pictures,"$304,933",52,"$15,000,000",PG,"Biography,Drama,Sport",465
Robin Hood,"$30,824,628","$86,489,031",Lionsgate,"$9,195,670","2,827","$100,000,000",PG-13,"Action,Adventure,Thriller",406
Thor: Ragnarok,"$315,058,289","$853,977,126",Walt Disney Studios Motion Pictures,"$122,744,989","4,080","$180,000,000",PG-13,"Action,Adventure,Comedy,Fantasy,Sci-Fi",424
Johnny English Strikes Again,"$4,412,170","$158,970,776",Universal Pictures,"$1,638,895",544,"$25,000,000",PG,"Action,Adventure,Comedy",70
Action Point,"$5,059,608","$5,103,663",Paramount Pictures,"$2,390,164","2,032","$19,000,000",R,Comedy,214
Death of a Nation,"$5,885,881","$5,885,881",Quality Flix,"$2,356,522","1,005","$6,000,000",PG-13,"Documentary,History",151
Once Upon a Deadpool,"$6,100,309","$51,247,568",Twentieth Century Fox,"$2,683,200","1,566","$110,000,000",R,"Action,Adventure,Comedy,Sci-Fi",385
Every Day,"$6,102,076","$10,421,847",Orion Pictures,"$3,016,149","1,667","$4,900,000",PG-13,"Drama,Fantasy,Romance",312
The Hurricane Heist,"$6,115,825","$32,517,248",Entertainment Studios Motion Pictures,"$3,024,399","2,402","$35,000,000",PG-13,"Action,Adventure,Crime,Thriller",298
The Edge of Seventeen,"$14,431,633","$19,370,020",STX Entertainment,"$4,754,215","1,945","$9,000,000",R,"Comedy,Drama",409
Forrest Gump,"$203,088","$203,088",Fathom Events,"$114,767",560,"$55,000,000",PG-13,"Drama,Romance",233
Venom,"$213,515,506","$856,085,151",Sony Pictures Releasing,"$80,255,756","4,250","$100,000,000",PG-13,"Action,Sci-Fi,Thriller",453
The Possession of Hannah Grace,"$14,837,422","$43,016,528",Screen Gems,"$6,401,744","2,065","$7,700,000",R,"Horror,Mystery,Thriller",438
Downsizing,"$24,449,754","$55,003,890",Paramount Pictures,"$4,954,287","2,668","$68,000,000",R,"Drama,Sci-Fi",375
Unfriended: Dark Web,"$8,866,745","$16,024,987",BH Tilt,"$3,653,035","1,546","$1,000,000",R,"Horror,Mystery,Thriller",165
Hell Fest,"$11,107,431","$18,159,691",Lionsgate,"$5,130,963","2,297","$5,500,000",R,Horror,98
The Darkest Minds,"$12,695,691","$41,142,379",Twentieth Century Fox,"$5,842,609","3,127","$34,000,000",PG-13,"Action,Adventure,Drama,Romance,Sci-Fi,Thriller",151
The Possession of Hannah Grace,"$14,837,422","$43,016,528",Screen Gems,"$6,401,744","2,065","$7,700,000",R,"Horror,Mystery,Thriller",438
The Girl in the Spider's Web,"$14,841,338","$35,164,920",Sony Pictures Releasing,"$7,810,112","2,929","$43,000,000",R,"Action,Crime,Drama,Thriller",56
The Nutcracker and the Four Realms,"$54,858,851","$173,961,069",Walt Disney Studios Motion Pictures,"$20,352,491","3,766","$120,000,000",PG,"Adventure,Family,Fantasy",425
Hunter Killer,"$15,767,460","$31,672,678",Lionsgate,"$6,653,777","2,728","$40,000,000",R,"Action,Thriller",70
Forever My Girl,"$16,376,066","$16,376,066",Roadside Attractions,"$4,245,630","1,114","$3,500,000",PG,"Drama,Music,Romance",347
"Paul, Apostle of Christ","$17,560,475","$25,915,966",Affirm Films,"$5,172,585","1,473","$5,000,000",PG-13,"Adventure,Biography,Drama,History",284
SuperFly,"$20,545,116","$20,780,685",Sony Pictures Releasing,"$6,870,740","2,220","$16,000,000",R,"Action,Crime,Thriller",202
Operation Finale,"$17,612,099","$17,612,099",Metro-Goldwyn-Mayer (MGM),"$6,022,758","1,818","$24,000,000",PG-13,"Biography,Drama,History,Thriller,War",128
Bad Times at the El Royale,"$17,839,115","$31,882,724",Twentieth Century Fox,"$7,132,647","2,808","$32,000,000",R,"Crime,Drama,Mystery,Thriller",84
Bad Santa 2,"$17,782,178","$24,079,268",Broad Green Pictures,"$6,176,680","2,920","$26,000,000",R,"Comedy,Crime,Drama",404
The Happytime Murders,"$20,706,452","$27,506,452",STX Entertainment,"$9,532,425","3,256","$40,000,000",R,"Action,Comedy,Crime,Mystery,Thriller",130
Proud Mary,"$20,877,013","$21,753,365",Screen Gems,"$9,959,053","2,125","$14,000,000",R,"Action,Crime,Drama,Thriller",354
Holmes & Watson,"$30,573,626","$40,466,970",Sony Pictures Releasing,"$7,411,522","2,776","$42,000,000",PG-13,"Comedy,Crime,Mystery",413
Overlord,"$21,704,844","$41,657,844",Paramount Pictures,"$10,202,108","2,859","$38,000,000",R,"Action,Adventure,Horror,Mystery,Sci-Fi,War",56
Second Act,"$39,282,227","$72,282,227",STX Entertainment,"$6,489,983","2,607","$16,000,000",PG-13,"Comedy,Drama,Romance",417
White Boy Rick,"$24,011,188","$25,957,482",Studio 8,"$8,860,431","2,504","$29,000,000",R,"Crime,Drama",112
The Hate U Give,"$29,719,483","$34,934,009",Twentieth Century Fox,"$512,035",36,"$23,000,000",PG-13,"Crime,Drama",453
Teen Titans GO! to the Movies,"$29,790,236","$52,090,236",Warner Bros.,"$10,411,189","3,188","$10,000,000",PG,"Action,Adventure,Animation,Comedy,Family,Musical,Sci-Fi",158
Sully,"$125,070,033","$240,797,623",Warner Bros.,"$35,028,301","3,525","$60,000,000",PG-13,"Biography,Drama",479
Star Trek: The Motion Picture,"$346,243","$346,243",Fathom Events,"$220,007",627,"$35,000,000",G,"Adventure,Mystery,Sci-Fi",149
The Shawshank Redemption,"$358,507","$358,507",Fathom Events,"$183,128",669,"$25,000,000",R,Drama,142
Adrift,"$31,445,012","$59,945,012",STX Entertainment,"$11,603,039","3,015","$35,000,000",PG-13,"Action,Adventure,Biography,Drama,Romance,Thriller",214
Robin Hood,"$30,824,628","$86,489,031",Lionsgate,"$9,195,670","2,827","$100,000,000",PG-13,"Action,Adventure,Thriller",406
Nobody's Fool,"$31,713,110","$33,705,333",Paramount Pictures,"$13,743,111","2,468","$19,000,000",R,"Comedy,Drama,Romance",63
Slender Man,"$30,569,484","$51,738,549",Screen Gems,"$11,371,866","2,358","$10,000,000",PG-13,"Horror,Mystery,Thriller",144
Super Troopers 2,"$30,617,396","$31,626,386",Twentieth Century Fox,"$15,181,624","2,038","$13,500,000",R,"Comedy,Crime,Mystery",256
Ferdinand,"$84,410,380","$296,069,199",Twentieth Century Fox,"$13,401,586","3,621","$111,000,000",PG,"Adventure,Animation,Comedy,Family,Fantasy",382
Annihilation,"$32,732,301","$43,070,915",Paramount Pictures,"$11,071,584","2,012","$40,000,000",R,"Adventure,Drama,Horror,Mystery,Sci-Fi,Thriller",312
Green Book,"$85,080,171","$329,704,599",Universal Pictures,"$320,429",25,"$23,000,000",PG-13,"Biography,Comedy,Drama,Music",452
The Spy Who Dumped Me,"$33,562,069","$75,320,680",Lionsgate,"$12,103,043","3,111","$40,000,000",R,"Action,Adventure,Comedy",151
Peppermint,"$35,418,723","$53,918,723",STX Entertainment,"$13,423,255","2,980","$25,000,000",R,"Action,Drama,Thriller",116
The 15:17 to Paris,"$36,276,286","$57,076,286",Warner Bros.,"$12,554,286","3,042","$30,000,000",PG-13,"Biography,Drama,Thriller",326
Mile 22,"$36,108,758","$66,308,758",STX Entertainment,"$13,710,825","3,520","$50,000,000",R,"Action,Thriller",137
Death Wish,"$34,017,028","$49,562,710",Metro-Goldwyn-Mayer (MGM),"$13,010,267","2,847","$30,000,000",R,"Action,Crime,Drama,Thriller",305
Alpha,"$35,857,181","$98,203,196",Studio 8,"$10,352,512","2,719","$51,000,000",PG-13,"Adventure,Drama,Family",140
Pitch Perfect 3,"$104,897,530","$185,400,345",Universal Pictures,"$19,928,525","3,447","$45,000,000",PG-13,"Comedy,Music",375
Widows,"$42,402,632","$75,984,700",Twentieth Century Fox,"$12,361,307","2,803","$42,000,000",R,"Crime,Drama,Thriller",452
Blumhouse's Truth or Dare,"$41,411,015","$95,330,493",Universal Pictures,"$18,667,855","3,029","$3,500,000",PG-13,"Horror,Thriller",263
"Love, Simon","$40,826,341","$66,316,289",Twentieth Century Fox,"$11,756,244","2,402","$17,000,000",PG-13,"Comedy,Drama,Romance",291
Inferno,"$34,343,574","$220,021,259",Sony Pictures Releasing,"$14,860,425","3,576","$75,000,000",PG-13,"Action,Crime,Drama,Mystery,Thriller",430
Jack Reacher: Never Go Back,"$58,697,076","$162,146,076",Paramount Pictures,"$22,872,490","3,780","$60,000,000",PG-13,"Action,Thriller",437
Cruel Intentions,"$445,218","$445,218",Sony Pictures Releasing,"$258,708",708,"$10,500,000",R,"Drama,Romance",326
Sherlock Gnomes,"$43,242,871","$90,497,778",Paramount Pictures,"$10,604,774","3,662","$59,000,000",PG,"Adventure,Animation,Comedy,Family,Fantasy,Mystery,Romance",284
First Man,"$44,936,545","$105,697,415",Universal Pictures,"$16,006,065","3,640","$59,000,000",PG-13,"Biography,Drama,History",446
Goosebumps 2: Haunted Halloween,"$46,700,633","$93,320,380",Sony Pictures Releasing,"$15,802,225","3,521","$35,000,000",PG,"Adventure,Comedy,Family,Fantasy,Horror",84
Breaking In,"$46,840,590","$51,411,620",Universal Pictures,"$17,630,285","2,537","$6,000,000",PG-13,"Action,Crime,Drama,Thriller",235
Red Sparrow,"$46,874,505","$151,572,634",Twentieth Century Fox,"$16,853,422","3,056","$69,000,000",R,"Action,Drama,Thriller",305
BlacKkKlansman,"$49,275,340","$93,400,823",Focus Features,"$10,845,330","1,512","$15,000,000",R,"Biography,Crime,Drama",550
I Feel Pretty,"$48,795,601","$94,539,426",STX Entertainment,"$16,030,218","3,440","$32,000,000",PG-13,"Comedy,Romance",256
Sicario: Day of the Soldado,"$50,072,235","$75,837,743",Sony Pictures Releasing,"$19,007,566","3,055","$35,000,000",R,"Action,Crime,Drama,Thriller",186
Overboard,"$50,316,123","$91,244,913",Pantelion Films,"$14,711,101","1,623","$12,000,000",PG-13,"Comedy,Romance",242
The Nutcracker and the Four Realms,"$54,858,851","$173,961,069",Walt Disney Studios Motion Pictures,"$20,352,491","3,766","$120,000,000",PG,"Adventure,Family,Fantasy",425
The Predator,"$51,024,708","$160,542,134",Twentieth Century Fox,"$24,632,284","4,037","$88,000,000",R,"Action,Adventure,Sci-Fi,Thriller",112
A Simple Favor,"$53,548,586","$97,644,617",Lionsgate,"$16,011,689","3,102","$20,000,000",R,"Comedy,Crime,Drama,Mystery,Thriller",112
Maze Runner: The Death Cure,"$58,032,443","$288,175,335",Twentieth Century Fox,"$24,167,011","3,787","$62,000,000",PG-13,"Action,Adventure,Sci-Fi,Thriller",340
Tag,"$54,730,625","$78,130,625",Warner Bros.,"$14,947,396","3,382","$28,000,000",R,Comedy,200
Tomb Raider,"$58,250,803","$274,650,803",Warner Bros.,"$23,633,317","3,854","$94,000,000",PG-13,"Action,Adventure,Fantasy,Thriller",291
Widows,"$42,402,632","$75,984,700",Twentieth Century Fox,"$12,361,307","2,803","$42,000,000",R,"Crime,Drama,Thriller",452
Crazy Rich Asians,"$174,532,921","$238,532,921",Warner Bros.,"$26,510,140","3,384","$30,000,000",PG-13,"Comedy,Drama,Romance",504
